#filename,assembly_ID,order,order_details,family,family_details,genus_species,number_of_specimen,stage,sample_location,sample_date,bloodfeeding
111015_I297_FCD05HRACXX_L1_INSbttTHRAAPEI-15.free.fas,INSbttTHRAAPEI-15,Trichoptera,NA,Psychomyiidae,NA,Psychomyia_flavida,10,adult,USA_Minnesota_Chisago_County_Kost_Dam_Park,26-Jun-2011,no
111015_I297_FCD05HRACXX_L1_INSbttTHRAAPEI-17.free.fas,INSbttTHRAAPEI-17,Trichoptera,NA,Phryganeidae,NA,Ptilostomis_semifasciata,1,adult,USA_Minnesota_Chisago_County_Kost_Dam_Park,26-Jun-2011,no
111015_I297_FCD05HRACXX_L1_INSbttTIRAAPEI-18.free.fas,INSbttTIRAAPEI-18,Collembola,NA,Isotomidae,NA,Folsomia_candida,320,NA,Germany_commercial_lab_curlture_Fressnapf_Bonn_origin_unclear,Jul-2011,no
111015_I297_FCD05HRACXX_L1_INSbttTIRAAPEI-22.free.fas,INSbttTIRAAPEI-22,Plecoptera,NA,Pteronarcyidae,NA,Pteronarcys_sp,NA,NA,USA_Minnesota_Isanti_County_North_Branch_Kost_Dam_Park,26-Jun-2011,no
111015_I297_FCD05HRACXX_L1_INSbttTJRAAPEI-19.free.fas,INSbttTJRAAPEI-19,Zygentoma,NA,Lepidotrichidae,NA,Tricholepidion_gertschi,7,NA,USA_California_Mendocino_County_Angelo_Coast_Range_Reserve,04-Aug-2011,no
111015_I297_FCD05HRACXX_L8_INSbttTARAAPEI-9.free.fas,INSbttTARAAPEI-9,Trichoptera,NA,Limnephilidae,NA,Platycentropus_radiatus,1,adult,USA_Minnesota_Chisago_County_Kost_Dam_Park,29-Jun-2011,no
111015_I297_FCD05HRACXX_L8_INSbttTBRAAPEI-11.free.fas,INSbttTBRAAPEI-11,Coleoptera,NA,Gyrinidae,NA,Dineutes_sp,1,adult,USA_New_Jersey_Sussex_County_Stokes_State_Forest,05-May-2011,no
111015_I297_FCD05HRACXX_L8_INSbttTCRAAPEI-12.free.fas,INSbttTCRAAPEI-12,Coleoptera,NA,Brentidae,NA,Arrhenodes_minutus,2,adult,USA_Massachusetts_Norfolk_Blue_Hills_Reservation_check_county_region,28-May-2011,no
111015_I297_FCD05HRACXX_L8_INSbttTFRAAPEI-15.free.fas,INSbttTFRAAPEI-15,Odonata,Zygoptera,Coenagrionidae,NA,Ischnura_hastata,1,adult,USA_Tennessee_Campbell_County_Caryville,22-Jun-2011,no
111015_I297_FCD05HRACXX_L8_INSbttTKRAAPEI-18.free.fas,INSbttTKRAAPEI-18,Megaloptera,NA,Corydalidae,NA,Corydalus_cornutus,1,not_determined,USA_Tennessee_Smokey_Mountain_National_Park,09-Jun-2011,no
111015_I297_FCD05HRACXX_L8_INSbttTLRAAPEI-19.free.fas,INSbttTLRAAPEI-19,Coleoptera,NA,Carabidae,NA,Calosoma_frigidum,1,adult,USA_Massachusetts_Norfolk_Blue_Hills_Reservation_check_county_region,27-May-2011,no
111015_I297_FCD05HRACXX_L8_INSbttTMRAAPEI-20.free.fas,INSbttTMRAAPEI-20,Odonata,Anisoptera,Macromiidae,NA,Macromia_illinoiensis,1,adult,USA_Tennessee_Blount_County_Townsend,21-Jun-2011,no
111015_I297_FCD05HRACXX_L8_INSbttTPRAAPEI-24.free.fas,INSbttTPRAAPEI-24,Odonata,Anisoptera,Libellulidae,NA,Celithemis_elisa,1,adult,USA_Tennessee_Monroe_County_Cherokee_National_Forest,21-Jun-2011,no
111015_I297_FCD05HRACXX_L8_INSbttTQRAAPEI-26.free.fas,INSbttTQRAAPEI-26,Odonata,Zygoptera,Coenagrionidae,NA,Enallagma_aspersum,4,adult,USA_Tennessee_Campbell_County_Caryville,22-Jun-2011,no
111015_I297_FCD05HRACXX_L8_INSbttTRRAAPEI-27.free.fas,INSbttTRRAAPEI-27,Odonata,Anisoptera,Corduliidae,NA,Epitheca_princeps,1,adult,USA_Tennessee_Wilson_County,20-Jun-2011,no
111015_I297_FCD05HRACXX_L8_INSbttTSRAAPEI-29.free.fas,INSbttTSRAAPEI-29,Zygentoma,NA,Lepismatidae,NA,Thermobia_domestica,50,not_determined,Germany_commercial_lab_curlture_Fressnapf_Bonn_origin_unclear,Jul-2011,no
111015_I297_FCD05HRACXX_L8_INSbusTBDRAAPEI-17.free.fas,INSbusTBDRAAPEI-17,Trichoptera,NA,Limnephilidae,NA,Glyphotaelius_pellucidus,1,larva,Germany_Hamburg_Hamburg_Eppendorfer_Moor,06-Apr-2011,no
111126_I883_FCD0GUKACXX_L6_INShauTAIRAAPEI-88.free.fas,INShauTAIRAAPEI-88,Hymenoptera,NA,Blasticotomidae,NA,Blasticotoma_filiceti,ca_7,larva,Austria_Upper_Austia_Boehmerwald,Aug-2011,no
111126_I883_FCD0GUKACXX_L6_INShauTAJRAAPEI-89.free.fas,INShauTAJRAAPEI-89,Collembola,NA,Tomoceridae,NA,Pogonognathellus_longicornis_flavescens,ca_30,adult,Germany_Lower_Saxony_Hoehbeck_Pevestorf_Elbholz,28-Aug-2011,no
111126_I883_FCD0GUKACXX_L6_INShauTAKRAAPEI-90.free.fas,INShauTAKRAAPEI-90,Ephemeroptera,NA,Baetidae,NA,Baetis_sp,26,adult,Germany_North_Rhine-Westphalia_Rhein-Sieg-Kreis_Donrath_Agger,17-May-2011,no
111126_I883_FCD0GUKACXX_L6_INShauTALRAAPEI-93.free.fas,INShauTALRAAPEI-93,Plecoptera,NA,Perlidae,NA,Perla_marginata,1,adult,Germany_Baden-Wuerttemberg_Black_Forest_Wutachschlucht,16-May-2011,no
111126_I883_FCD0GUKACXX_L6_INShauTAMRAAPEI-94.free.fas,INShauTAMRAAPEI-94,Mantodea,NA,Metallyticidae,NA,Metallyticus_splendidus,1,juvenil,Malaysia_Selangor_Selamat_Datang_Ke_Taman_Rimba_Komanwel,14-Apr-2011,no
111126_I883_FCD0GUKACXX_L6_INShauTANRAAPEI-95.free.fas,INShauTANRAAPEI-95,Orthoptera,Caelifera,Tetrigidae,NA,Tetrix_subulata,2,adult,Germany_North_Rhine-Westphalia_Rhein-Sieg-Kreis_Donrath_Agger,17-May-2011,no
111126_I883_FCD0GUKACXX_L6_INShauTAORAAPEI-8.free.fas,INShauTAORAAPEI-8,Hemiptera,Auchenorrhyncha_Cicadomorpha,Cicadellidae,NA,Graphocephala_fennahi,6,adult,Germany_Hamburg_Hamburg-Harburg,10-Aug-2011,no
111126_I883_FCD0GUKACXX_L6_INShauTAPRAAPEI-9.free.fas,INShauTAPRAAPEI-9,Hemiptera,Heteroptera,Miridae,NA,Notostira_elongata,4,adult,Germany_North_Rhine-Westphalia_Rhein-Sieg-Kreis_Donrath_Agger,17-May-2011,no
111126_I883_FCD0GUKACXX_L6_INShauTAQRABPEI-11.free.fas,INShauTAQRABPEI-11,Hymenoptera,NA,Chrysididae,Chrysidinae,Chrysis_viridula,7,adult,Germany_Rhineland-Palatinate_Suedliche_Weinstrasse_Albersweiler,21-May-2011,no
111126_I883_FCD0GUKACXX_L6_INShauTARRAAPEI-12.free.fas,INShauTARRAAPEI-12,Hymenoptera,NA,Chrysididae,Chrysidinae,Chrysis_ignita,8,adult,Germany_Rhineland-Palatinate_Albersweiler,Jun-2011,no
111126_I883_FCD0GUKACXX_L6_INShauTASRAAPEI-13.free.fas,INShauTASRAAPEI-13,Coleoptera,NA,Hydrophilidae,NA,Hydrochara_caraboides,1,larva,Germany_Mecklenburg-Hither_Pomerania_Mecklenburg_Lake_District_Fuerstenhagen,12-May-2011,no
111126_I883_FCD0GUKACXX_L6_INShauTATRAAPEI-14.free.fas,INShauTATRAAPEI-14,Hymenoptera,NA,Chrysididae,Chrysidinae,Trichrysis_cyanea,6,adult,Germany_Rhineland-Palatinate_Albersweiler,21-Mai-2011,no
111126_I883_FCD0GUKACXX_L6_INShauTAURAAPEI-15.free.fas,INShauTAURAAPEI-15,Hymenoptera,NA,Gasteruptiidae,NA,Gasteruption_tournieri,11,adult,Germany_Rhineland-Palatinate_Battenberg,05-Jul-2011,no
111126_I883_FCD0GUKACXX_L6_INShauTAVRAAPEI-16.free.fas,INShauTAVRAAPEI-16,Lepidoptera,NA,Noctuidae,NA,Amphipyra_pyramidea,1,NA,Germany_North_Rhine-Westphalia_Rhein-Sieg-Kreis_Bad_Honnef,02-Aug-2011,no
111126_I883_FCD0GUKACXX_L6_INShauTAXRAAPEI-18.free.fas,INShauTAXRAAPEI-18,Coleoptera,NA,Tenebrionidae,Lagriinae,Lagria_hirta,3,adult,Germany_North_Rhine-Westphalia_Bad_Honnef_Im_rauhen_Graben,02-Aug-2011,no
111126_I883_FCD0GUKACXX_L6_INShauTAZRAAPEI-20.free.fas,INShauTAZRAAPEI-20,Lepidoptera,NA,Sphingidae,NA,Sphinx_pinastri,1,NA,Germany_Lower_Saxony_Luechow-Dannenberg_Hoehbeck_Pevestorf_Elbauenstation,11-Aug-2011,no
111126_I883_FCD0GUKACXX_L7_INShauTAARAAPEI-90.free.fas,INShauTAARAAPEI-90,Mantodea,NA,Mantidae,NA,Mantis_religiosa,1,adult,Germany_Rhineland-Palatinate_Suedliche_Weinstrasse_Albersweiler,20-Aug-2011,no
111126_I883_FCD0GUKACXX_L7_INShauTABRAAPEI-93.free.fas,INShauTABRAAPEI-93,Lepidoptera,NA,Adelidae,NA,Nemophora_degeerella,5,adult,Austria_Lower_Austria_Guntramsdorf_Eichkogel,02-Jun-2011,no
111126_I883_FCD0GUKACXX_L7_INShauTACRAAPEI-94.free.fas,INShauTACRAAPEI-94,Mecoptera,NA,Panorpidae,NA,Panorpa_vulgaris,2,adult,Germany_North_Rhine-Westphalia_Bonn_Poppelsdorf_Kreuzbergallee,07-Jun-2011,no
111126_I883_FCD0GUKACXX_L7_INShauTADRAAPEI-95.free.fas,INShauTADRAAPEI-95,Neuroptera,NA,Hemerobiidae,NA,Drepanepteryx_phalaenoides,3,adult,Germany_Lower_Saxony_Luechow-Dannenberg_Hoehbeck_Pevestorf,Aug-2011,no
111126_I883_FCD0GUKACXX_L7_INShauTAERAAPEI-8.free.fas,INShauTAERAAPEI-8,Lepidoptera,NA,Erebidae,Arctiinae,Amata_phegea,NA,NA,Austria_Lower_Austria_Moedling_Guntramsdorf_Eichkogel,02-Jun-2011,no
111126_I883_FCD0GUKACXX_L7_INShauTAFRAAPEI-9.free.fas,INShauTAFRAAPEI-9,Collembola,NA,Sminthuridae,NA,Sminthurus_viridis_nigromaculatus,53,adult,Germany_North_Rhine-Westphalia_Rhein-Sieg-Kreis_Donrath_Agger,25-May-2011,no
111126_I883_FCD0GUKACXX_L7_INShauTAHRAAPEI-18.free.fas,INShauTAHRAAPEI-18,Neuroptera,NA,Mantispidae,NA,Mantispa_styriaca,1,adult,Austria_Lower_Austria_Moedling_Guntramsdorf_Eichkogel,02-Jun-2011,no
111126_I883_FCD0GUKACXX_L7_INShauTAWRAAPEI-17.free.fas,INShauTAWRAAPEI-17,Hymenoptera,NA,Chrysididae,Chrysidinae,Pseudospinolia_neglecta,9,adult,Germany_Rhineland-Palatinate_2_5_km_W_of_Bechtheim_Germany_Baden-Wuerttemberg_Oberbergen_Loesswand,2011,no
111126_I883_FCD0GUKACXX_L7_INShauTAYRAAPEI-19.free.fas,INShauTAYRAAPEI-19,Coleoptera,NA,Meloidae,NA,Meloe_violaceus,2,adult,Germany_Thuringia_Saale-Holzland-Kreis_Tautenburger_Forst,23-Mar-2011,no
111126_I883_FCD0GUKACXX_L7_INShauTBARAAPEI-21.free.fas,INShauTBARAAPEI-21,Coleoptera,NA,Carabidae,NA,Cicindela_hybrida,2,adult,Germany_Lower_Saxony_Luechow-Dannenberg_Hoehbeck_Laascher_See,26-Aug-2011,no
111126_I883_FCD0GUKACXX_L7_INShauTBBRAAPEI-22.free.fas,INShauTBBRAAPEI-22,Trichoptera,NA,Phryganeidae,NA,Phryganea_grandis,1,adult,Germany_Lower_Saxony_Luechow-Dannenberg_Hoehbeck_Pevestorf,11-Aug-2011,no
111126_I883_FCD0GUKACXX_L7_INShauTBCRAAPEI-30.free.fas,INShauTBCRAAPEI-30,Hymenoptera,NA,Chrysididae,Chrysidinae,Holopyga_generosa,6,adult,Germany_Rhineland-Palatinate_Albersweiler_Germany_Rhineland-Palatinate_Guntersblum_Germany_Baden-Wuerttemberg_Rheinau,2011,no
111126_I883_FCD0GUKACXX_L7_INShauTBDRAAPEI-31.free.fas,INShauTBDRAAPEI-31,Lepidoptera,NA,Erebidae,Arctiinae,Phragmatobia_fuliginosa,2,NA,Germany_North_Rhine-Westphalia_Rhein-Sieg-Kreis_Bad_Honnef,02-Aug-2011,no
111126_I883_FCD0GUKACXX_L7_INShauTBERAAPEI-33.free.fas,INShauTBERAAPEI-33,Coleoptera,NA,Staphylinidae,NA,Aleochara_curtula,10,adult,Germany_Lab_culture_Klaus_Peschke_University_of_Freiburg_Freiburg_Germany_origin_of_samples_unclear,Summer_2010_2011,no
111126_I883_FCD0GUKACXX_L7_INShauTBFRAAPEI-34.free.fas,INShauTBFRAAPEI-34,Lepidoptera,NA,Yponomeutidae,NA,Yponomeuta_evonymellus,10,adult,Germany_North_Rhine-Westphalia_Bonn_ZFMK,27-Jun-2011,no
111126_I883_FCD0GUKACXX_L7_INShauTBGRAAPEI-35.free.fas,INShauTBGRAAPEI-35,Lepidoptera,NA,Lycaenidae,NA,Polyommatus_icarus,4,adult,Germany_Lower_Saxony_Hoehbeck_Pevestorf_Elbvorland_Deich,12-Aug-2011,no
120107_I247_FCD0KMHACXX_L8_INSfrgTBERAAPEI-30.free.fas,INSfrgTBERAAPEI-30,Hymenoptera,NA,Bradynobaenidae,NA,Chyphotes_sp,NA,adult,USA_Arizona_Willcox,11-Aug-2011,no
120107_I247_FCD0KMHACXX_L8_INSnfrTAARAAPEI-13.free.fas,INSnfrTAARAAPEI-13,Hymenoptera,NA,Orussidae,NA,Orussus_abietinus,2,adult,Germany_Hesse_Gross-Gerau,23-Apr-2011,no
120107_I247_FCD0KMHACXX_L8_INSnfrTABRAAPEI-14.free.fas,INSnfrTABRAAPEI-14,Hemiptera,Heteroptera,Pleidae,NA,Plea_minutissima,60,adult,Germany_Lower_Saxony_Luechow-Dannenberg_Hoehbeck_Pevestorf,Aug-2011,no
120107_I247_FCD0KMHACXX_L8_INSnfrTACRAAPEI-15.free.fas,INSnfrTACRAAPEI-15,Raphidioptera,NA,Raphidiidae,NA,Dichrostigma_flavipes,2,adult,Austria_Lower_Austria_Moedling_Guntramsdorf_Eichkogel,03-Jun-2011,no
120107_I247_FCD0KMHACXX_L8_INSnfrTADRAAPEI-16.free.fas,INSnfrTADRAAPEI-16,Coleoptera,NA,Dytiscidae,NA,Cybister_lateralimarginalis,1,adult,Germany_Lower_Saxony_Luechow-Dannenberg_Hoehbeck_Pevestorf,27-Aug-2011,no
120107_I247_FCD0KMHACXX_L8_INSnfrTAERAAPEI-17.free.fas,INSnfrTAERAAPEI-17,Hymenoptera,NA,Evaniidae,NA,Brachygaster_minutus,18,adult,Croatia_Zadar_Donji_Brig,23-May-2011,no
120107_I247_FCD0KMHACXX_L8_INSnfrTAFRAAPEI-18.free.fas,INSnfrTAFRAAPEI-18,Archaeognatha,NA,Meinertellidae,NA,Meinertellus_cundinamarcensis,5,adult,Peru_Loreto_Province_67_km_NE_of_lquitos,02-Aug-2011,no
120107_I247_FCD0KMHACXX_L8_INSnfrTAGRAAPEI-19.free.fas,INSnfrTAGRAAPEI-19,Raphidioptera,NA,Raphidiidae,NA,Xanthostigma_xanthostigma,1,adult,Austria_Lower_Austria_Klosterneuburg,14-May-2011,no
120107_I247_FCD0KMHACXX_L8_INSnfrTAHRAAPEI-20.free.fas,INSnfrTAHRAAPEI-20,Hymenoptera,NA,Trigonalidae,NA,Pseudogonalos_hahnii,NA,adult,Germany_Baden-Wuerttemberg,01-Jun-2011,no
120107_I247_FCD0KMHACXX_L8_INSnfrTAIRAAPEI-21.free.fas,INSnfrTAIRAAPEI-21,Collembola,NA,Neanuridae,NA,Anurida_maritima,ca_100,adult,Netherlands_North_Holland_Texel_Ferry_Bay,01-Sep_2011,no
120107_I247_FCD0KMHACXX_L8_INSnfrTAJRAAPEI-22.free.fas,INSnfrTAJRAAPEI-22,Archaeognatha,NA,Machilidae,NA,Machilis_hrabei,8,adult,Austria_Vienna_Leopoldsberg_Nasenweg,12-Aug-2011,no
120107_I247_FCD0KMHACXX_L8_INSnfrTALRAAPEI-31.free.fas,INSnfrTALRAAPEI-31,Plecoptera,NA,Leuctridae,NA,Leuctra_sp,ca_8,adult,Germany_North_Rhine-Westphalia_Rhein-Sieg-Kreis_Donrath_Agger,08-Sep-2011,no
120126_I283_FCD0L80ACXX_L1_INSnfrTAKRAAPEI-30.free.fas,INSnfrTAKRAAPEI-30,Ephemeroptera,NA,Ephemeridae,NA,Ephemera_danica,2,adult,Germany_North_Rhine-Westphalia_Rhein-Sieg-Kreis_Donrath_Agger,17-May-2011,no
120126_I283_FCD0L80ACXX_L1_INSnfrTAMRAAPEI-33.free.fas,INSnfrTAMRAAPEI-33,Orthoptera,Caelifera,Acrididae,NA,Stenobothrus_lineatus,2,NA,Germany_Lower_Saxony_Hoehbeck_Pevestorf_Laascher_See,26-Aug-2011,no
120126_I283_FCD0L80ACXX_L1_INSnfrTANRAAPEI-34.free.fas,INSnfrTANRAAPEI-34,Hemiptera,Auchenorrhyncha_Cicadomorpha,Cercopidae,NA,Cercopis_vulnerata,4,adult,Germany_North_Rhine-Westphalia_Rhein-Sieg-Kreis_Meckenheim_Marienforster_Gut,10-May-2011,no
120126_I283_FCD0L80ACXX_L1_INSnfrTAORAAPEI-35.free.fas,INSnfrTAORAAPEI-35,Hemiptera,Heteroptera,Veliidae,NA,Velia_caprai,20,adult,Germany_Lower_Saxony_Hoehbeck_Pevestorf,12-Aug-2011,no
120126_I283_FCD0L80ACXX_L1_INSnfrTAPRAAPEI-36.free.fas,INSnfrTAPRAAPEI-36,Hemiptera,Heteroptera,Acanthosomatidae,NA,Acanthosoma_haemorrhoidale,1,adult,Germany_North_Rhine-Westphalia_Rhein-Sieg-Kreis_Donrath_Agger,17-May-2011,no
120126_I283_FCD0L80ACXX_L1_INSnfrTAQRAAPEI-37.free.fas,INSnfrTAQRAAPEI-37,Hymenoptera,NA,Braconidae,NA,Cotesia_vestalis,40,NA,Netherlands_Lab_culture_from_unknown_origin_J_de_Boer_Laboratory_of_Entomology_Wageningen_University_Wageningen,03-Jul-2005,no
120126_I283_FCD0L80ACXX_L1_INSnfrTARRAAPEI-39.free.fas,INSnfrTARRAAPEI-39,Neuroptera,NA,Chrysopidae,NA,Pseudomallada_prasinus,3,adult,Austria_Lower_Austria_Guntramsdorf_Eichkogel,03-Jun-2011,no
120126_I283_FCD0L80ACXX_L1_INSnfrTATRAAPEI-43.free.fas,INSnfrTATRAAPEI-43,Neuroptera,NA,Hemerobiidae,NA,Micromus_variegatus,12,adult,Germany_North_Rhine-Westphalia_Bonn_Zoological_Research_Museum_A_Koenig_ZFMK,Jun-2011,no
120126_I283_FCD0L80ACXX_L1_INSnfrTAURAAPEI-8.free.fas,INSnfrTAURAAPEI-8,Hymenoptera,NA,Chrysididae,Chrysidinae,Chrysis_mixta,4,adult,France_Alpes-Maritimes_Millefonts,12-Jul-2011,no
120126_I283_FCD0L80ACXX_L1_INSnfrTAVRAAPEI-9.free.fas,INSnfrTAVRAAPEI-9,Lepidoptera,NA,Hepialidae,NA,Triodia_sylvina,2,NA,Germany_Lower_Saxony_Hoehbeck_Pevestorf_Station,27-Aug-2011,no
120126_I283_FCD0L80ACXX_L1_INSnfrTAWRAAPEI-11.free.fas,INSnfrTAWRAAPEI-11,Diptera,Brachycera,Syrphidae,NA,Episyrphus_balteatus,8,adult,Germany_Lower_Saxony_Luechow-Dannenberg_Hoehbeck_Pevestorf,Aug-2011,no
120126_I283_FCD0L80ACXX_L1_INSnfrTAXRAAPEI-12.free.fas,INSnfrTAXRAAPEI-12,Hymenoptera,NA,Chrysididae,Chrysidinae,Pseudomalus_pusillus,25,adult,Germany_Rhineland-Palatine_Guntersblum,02-Jun-2011,no
120126_I283_FCD0L80ACXX_L1_INSnfrTAYRAAPEI-13.free.fas,INSnfrTAYRAAPEI-13,Lepidoptera,NA,Pieridae,NA,Anthocharis_cardamines,1,adult,Germany_North_Rhine-Westphalia_Rhein-Sieg-Kreis_Rheinbach,03-May-2011,no
120126_I283_FCD0L80ACXX_L1_INSnfrTAZRAAPEI-14.free.fas,INSnfrTAZRAAPEI-14,Hymenoptera,NA,Chrysididae,Chrysidinae,Chrysis_inaequalis,4,adult,Germany_Rhineland-Palatinate_Albersweiler,04-Jun-2011,no
120126_I283_FCD0L80ACXX_L2_INSfrgTALRAAPEI-22.free.fas,INSfrgTALRAAPEI-22,Dermaptera,NA,Apachyidae,NA,Apachyus_charteceus,1,not_determined,Malaysia_Selangor_Taman_Rimba_Templer,10-Apr-2011,no
120126_I283_FCD0L80ACXX_L2_INSfrgTAMRAAPEI-30.free.fas,INSfrgTAMRAAPEI-30,Archaeognatha,NA,Machilidae,NA,Lepismachilis_y-signata,15,adult,Austria_Vienna_XIII_Hietzing_Lainzer_Tiergarten_near_Nikolaitor,15-Oct-2011,no
120126_I283_FCD0L80ACXX_L2_INSnfrTASRAAPEI-41.free.fas,INSnfrTASRAAPEI-41,Hymenoptera,NA,Chrysididae,Chrysidinae,Chrysis_analis,3,adult,Germany_Rhineland-Palatinate_Albersweiler,07-Jun-2011,no
